nombre,no_publicaciones,no_seguidores,fecha_ult_pub,tel1,tel2,tel3,bio,link,keyword
aguadesol1,466,"3,466",Private Account,3004068062,,,Somos Tienda Online brMedellínColombiabrEnvíos a nivel nacional brInfo y pedidos wp 3004068062 brDa click aquiPara más información,api.whatsapp.com/send?phone=573004068062,#ropamedellin
hic_store,63,334,29-Apr-18,3017479695,,,HIC Store Encontraras las mejores opciones en camisetas Basicas  para OutfitsDomicilios en MED  Envios a todo Col Info 3017479695 o Por Interno ,No link,#ropamedellin
remenart,96,333,12-Jul-18,,,,Tattoo Body piercings Pintura Moda Sígueme también en a classnotranslate hrefgutierclothesgutierclothesa,No link,#ropamedellin
jyjcamisetas,13,12,3-Jan-18,,,,Medellín  Camisetas estampadas y con apliquesbrSe estampa el diseño que deséebrTodos los colores de camisetas para hombre y mujer tallas S M L XL,No link,#ropamedellin
teenager.boom,28,240,27-Dec-17,3148157318,,,camisascamisetas gorras brCualquier info DM obrWhatsapp   3148157318 brDomicilios a todo medellin brEncuentra el mejor precio desde tu casa,No link,#ropamedellin
dinastia_fragance,22,44,Private Account,,,,fragancias inspiradas en las marcas mas reconocidas del mundo grantizada en aroma y perdurabilidadbrPara destacar tu personalidad ,www.facebook.com/Dinastia-Fragance-185717288643360,#ropamedellin
perfumeria_athena,,,,,,,,,#ropamedellin
mialiciaperfumeria,57,"7,878",28-Jun-18,3016129754,,, Perfumería exclusivabr Productos originales br Envíos a todo el país brMedellin  Colombiabr3016129754,api.whatsapp.com/send?phone=573016129754,#ropamedellin
lesecret_boutique,127,"1,070",Private Account,3132830982,,,EXPERTOS EN PERFUMERÍA brPERFUMERÍA ORIGINAL br ENVÍOS A TODA COLOMBIAbrWhatsApp 3132830982brTips Salud y Belleza a class hrefexploretagstipslesecretboutiquetipslesecretboutiquea,www.facebook.com/Lesecretboutique01,#ropamedellin
zafel_col,53,151,Private Account,,,3104424808,Perfumería originalbra class hrefexploretagsauthenticonlyAuthenticOnlyabrHacemos envíos a todo el paísbrAtendemos por WhatsApp y DM ,api.whatsapp.com/send?phone=573104424808,#ropamedellin
locionesoriginalesmedellin,232,"7,324",14-Jul-18,3117104014,3146809755,,Perfumeria 100 original               Cero imitaciones brShop Online 31171040143146809755 brMedellin Col,api.whatsapp.com/send?phone=573117104014,#ropamedellin
perfumeriadeparis,70,144,Private Account,3423005393,,,Perfumería original con 20 años de experiencia en el mercado brMedellín CC El Diamante 2201brEnvíos dentro y fuera del paisbr0342300539  304527360,www.perfumeriadeparis.com,#ropamedellin
habittual,380,"1,156",14-Jul-18,3006162668,3136363134,,Venta de perfumería original de las mejores marcas  envíos a todo el país mayor info brWhatsApp 3006162668br3136363134,www.facebook.com/habittual,#ropamedellin
gran_aroma,152,"7,659",Private Account,3127820858,,,Lociones y perfumes  originalesbra classnotranslate hrefpablovillatpablovillata 3127820858 Contamos con envío GRATIS a TODA Colombia tasters probadores y pago contraentrega,api.whatsapp.com/send?phone=573127820858,#ropamedellin
supershopcol,"1,239","6,860",Private Account,,,,Tú Tienda en línea de Accesorios de Moda No 1 de Colombia Únete a nuestra Comunidad de Felices Compradores,supershop.com.co,#ropamedellin
colecciondearomas1,205,"2,678",Private Account,3113736181,,,PERFUMES Y COSMETICOS brORIGINAL brINFO 573113736181 brDOMICILIOS EN MEDELLINbrENVIOS NACIONALES,www.facebook.com/colecciondearomas1,#ropamedellin
lepier.store,"1,068","38,592",22-Jun-18,3167484346,,3064561259,Artículos  originales garantizadosbrEnvíos a todo el paísbrContraentrega en Medellin brBancolombia Efecty brWpp 3167484346,www.facebook.com/Le-Pier-Store-1590653064561259,#ropamedellin
outletoptico,708,"41,620",15-Jul-18,,,3164397230,PRODUCTOS ORIGINALESbr1 año de Garantia brEnvios a Todo Colombiabr7 años cumpliendobrwwwoutletopticocom,api.whatsapp.com/send?phone=573164397230,#ropamedellin
ventasenlinea.co,367,638,Private Account,,,,Tienda virtual distribuidora de productos con tendencia del mercado Tecnología y gadgets accesorios para hombres y mujeres,www.ventasenlinea.co,#ropamedellin
veruzcastore,191,"1,276",Private Account,3113208675,,,Una historia con aroma a flores   brEnvíos nacionales  brPedidos WH 3113208675 brMedellín  Colombia bra class hrefexploretagscrueltyfreecrueltyfreea a class hrefexploretagsveruzcaloververuzcalovera cat,No link,#ropamedellin
freesiaperfums,115,379,3-Jul-18,3194051630,,,Venta de perfumes Originales brEnvíos nacionales ColombiabrPedido por encargo brWhatsApp 319 4051630brCHATEA VÍA WHATSAPP AQUÍ,api.whatsapp.com/send?phone=573194051630,#ropamedellin
fragance_cl,29,121,Private Account,3024563771,,,El perfume es el eco de las floresbrPERFUMES AL POR MAYOR brSURTIMOS TU NEGOCIObrENVIOS TODO EL PAISbrLos mejores preciosbrWpp 3024563771,No link,#ropamedellin
365ofertas,252,427,14-Jul-18,,,,Las Mejores Marcas de Moda en Oferta Aprovecha nuestras Ofertas Semanales,www.365ofertas.com,#ropamedellin
perfumes.envigado,,,,,,,,,#ropamedellin
lifemates.oficial,5,93,Private Account,,,,Productos al por mayor y al detal Servicio a domicilio 100 seguro  contáctanos ,No link,#ropamedellin
24hdeofertas,179,"1,448",13-Jul-18,,,,Somos una Tienda en Línea que te ofrece eventos de 24 horas todos los meses con Precios de Liquidación Disfruta  a class hrefexploretags24hdeofertas24hdeofertasa,24hdeofertas.com,#ropamedellin
perfumare_,56,97,Private Account,,,,Tienda virtual con aromas para resaltar tu belleza y sensualidad  br  originalesbrEnvíos a toda Colombia ,No link,#ropamedellin
cicicrz,"10,932","3,687",15-Jul-18,,,,FORTE e CORAJOSA e Destrabra class hrefexploretagscristãCristãaa class hrefexploretagsnoivaNoivaa de a classnotranslate hrefagarbsoicramagarbsoicrama   a class hrefexploretagsfelizfeliza a class hrefexploretagsfilhadeumdeusvivofilhadeumdeusvivoa a class hrefexploretagscozinheiracozinheiraa a class hrefexploretagsdesigndeinterioresdesigndeinterioresa Aqui só tem amor ,www.instagram.com/amoradoisgourmet,#ropamedellin
comprasyantojos,66,"2,485",Private Account,3105331793,,,Productos importados brModa accesorios y decoración br Whatsapp 3105331793 brcomprasyantojosgmailcom br Envíos a todo  ,No link,#ropamedellin
telovendomedellin2018,31,145,6-May-18,,,,No biography,No link,#ropamedellin
blasgo.com_,87,"5,953",Private Account,3002916694,,,Las marcas que buscabas en un solo lugar A un solo un clic br Envíos a todo el paísbrTodos los medios de pagobr3002916694 WhatsApp,www.blasgo.com,#ropamedellin
locionesmedellin100,68,470,12-Apr-18,3182606394,,, 100 Originales  Compra Garantizada Excelentes Preciosbr Domicilios en Medellín  Envíos a todo el Paísbr WhatsApp  3182606394  Estudiante UdeM,No link,#ropamedellin
imiola_,2,15,Private Account,,,, PERFUMES 100 ORIGINAL br VELAS IMPORTADAS 100 ORIGINALbrEnvíos a todo el país  brBogota Colombia,No link,#ropamedellin
locionesmedellin123,36,"1,204",29-Mar-18,3174343981,,,REPLICAS PARA HOMBRE Y MUJER 12000brDuraderasgarantizadas brWpp 3174343981brVentas al por mayorbrDomicilio medellin gratis ,No link,#ropamedellin
perfumont,143,302,8-Jul-18,,,3105227217,PERFUMONT Perfumería AAA amp Original Accesoriosbr Montería virtualbrCompra segurabr Envíos a todo el paísbr Click debajo para chat WhatsApp,api.whatsapp.com/send?phone=573105227217,#ropamedellin
celu.variedades.jm,163,"1,179",24-Mar-18,,,3505981643,TIENDA VIRTUAL UBICADA EN MEDELLIN  VENTA DE CELULARES CON GARANTÍA PERFUMERÍA  ORIGINAL GAFAS ROPA DEPORTIVA MÁS INFO DIRECT,api.whatsapp.com/send?phone=573505981643,#ropamedellin
sneiderarbelae,228,"1,013",Private Account,,,,Odontologo,No link,#ropamedellin
fraganciadivina,43,"1,064",7-Mar-18,,,,Venta de perfumes brLa mejor calidadbrLos mejores preciosbrPago contra entrega MedellínbrEnvíos a todo Colombia,No link,#ropamedellin
perfumesrosero,"3,619","2,700",Private Account,3016911959,,,PERFUMES RELOJES  IMPORTADOS ORIGINALES Domicilio gratisbrSOLO MENSAJES         No llamadas  57 3016911959 a classnotranslate hrefperfumesroseroperfumesroseroa,perfumes-rosero.myshopify.com,#ropamedellin
esencia__divina,165,233,Private Account,,,,Venta de perfumes  originales y garantizados envíos a todo  con los mejores descuentos direct by a classnotranslate hrefmelisepulveda17melisepulveda17a,No link,#ropamedellin
deluxevirtualshop,170,294,Private Account,3024288810,,, Envios  Seguros a Todo el País br Domicilios en Medellin br Pagos Seguros  y Productos Garantizados br 3024288810,No link,#ropamedellin
blackmilstore,548,"2,629",13-Jul-18,,,3007656698,PERFUMERIA ORIGINALbrENVIOS NACIONALES brTIENDA VIRTUAL  brColombia  brSplash Victoria Secrect brCOMPRAS SEGURASbrPedidos,api.whatsapp.com/send?phone=573007656698,#ropamedellin
gangazoselgordo,"2,023","1,508",11-Jul-18,,,3116225437,Somos una tienda online con 5 años en la red envíos y domicilios SOMOS MAYORISTAS Whatsapp,api.whatsapp.com/send?phone=573116225437,#ropamedellin
fraganciainolvidable,20,72,Private Account,,,,No biography,No link,#ropamedellin
1clickstore,"6,783","22,841",15-Jul-18,3008673887,,,Las Mejores Marcas 100 Originales  Ropa  Zapatos  Acceosrios  Mucho MásWhatsApp 3008673887 casillero USAgtCOL,No link,#ropamedellin
quanticstore,849,"18,977",22-Jun-18,3002249151,,,Multimarca donde encontraras ropa exterior perfumes originales  pijamas accesorios y másbr3002249151brVisitanos Cc Los colores local 106,www.facebook/quantic.store,#ropamedellin
capitalfragance,92,96,Private Account,3014251717,,,Perfumería masculina y femenina IMPORTADA brEnvios nacionales brPregunta por el tuyo brPara compras 301 425 1717 br ORIGINAL ,No link,#ropamedellin
perfumes_y_gafas,"1,410","34,850",21-Mar-18,3128617832,3218134571,,Perfumería y gafas Medellin  ColombiabrSólo originalesbrEnvios gratis confiabilidad 100brContacto brWp  3128617832br         3218134571brFotos reales,No link,#ropamedellin
azan_shop_,71,171,12-Apr-18,3212441898,,, BOGOTA COLOMBIAbr Perfumes para mujer hombre niña classnotranslate hrefssabr 100 originalesbr Envíos a toda Colombiabr Contáctanos por DM o 3212441898,No link,#ropamedellin
